material_id,formula,elements,band_gap,is_gap_direct,spacegroup_symbol,crystal_system,energy_above_hull,formation_energy_per_atom,density,volume,nsites
mp-661,AlN,Al-N,4.0536,True,P6_3mc,Hexagonal,0.0,-1.6796721718749996,3.2008897176145172,42.52728307818043,4
mp-1550,AlP,Al-P,1.6292999999999997,False,F-43m,Cubic,0.0,-0.737248783988095,2.3481923139522247,40.983457924417976,2
mp-2624,AlSb,Al-Sb,1.2262000000000004,False,F-43m,Cubic,0.0,-0.25297548500000033,4.175546641957562,59.15180866014202,2
mp-2172,AlAs,Al-As,1.5007000000000001,False,F-43m,Cubic,0.0,-0.6270427762500006,3.7018177310136027,45.711095247398035,2
mp-2534,GaAs,Ga-As,0.1839000000000004,True,F-43m,Cubic,0.0,-0.44627705625000047,5.053200369484521,47.531859385343836,2
mp-20351,InP,In-P,0.46640000000000015,True,F-43m,Cubic,0.0,-0.3582735989880952,4.705583128980038,51.44801613145897,2
mp-2490,GaP,Ga-P,1.5917000000000003,False,F-43m,Cubic,0.0,-0.5089161339880963,4.128066400195779,40.5058667192971,2
mp-804,GaN,Ga-N,1.7375999999999996,True,P6_3mc,Hexagonal,0.0,-0.670049406875,6.080976828616325,45.72832358928343,4
mp-554820,ZnS,Zn-S,2.0206,True,P3m1,Trigonal,0.0,-0.9626983496205342,4.141139571091642,1094.3999128517012,56
mp-672,CdS,Cd-S,1.1162,True,P6_3mc,Hexagonal,0.0,-0.776608388906249,4.7022848002774404,102.03892478274858,4
mp-406,CdTe,Cd-Te,0.5867,True,F-43m,Cubic,0.0,-0.5607400050000031,5.6362395107915155,70.71162283069633,2
mp-1070,CdSe,Cd-Se,0.5589,True,P6_3mc,Hexagonal,0.0,-0.8376061936718759,5.480140003647152,115.97478237665474,4
mp-1102515,ZnSe2,Zn-Se,0.7291999999999996,False,Pa-3,Cubic,0.0,-0.6441616723958331,5.7278503819700255,258.97780493022333,12
mp-2176,ZnTe,Zn-Te,1.0782000000000003,True,F-43m,Cubic,0.0,-0.6841630333333328,5.616959260154082,171.17748428055455,6
mp-1190,ZnSe,Zn-Se,1.1687,True,F-43m,Cubic,0.0,-0.9515610311718761,5.2748452761486675,45.44784771695639,2
mp-1095493,CdSe2,Cd-Se,0.6141999999999999,False,Pa-3,Cubic,0.0,-0.6352853707291656,5.84640420096961,307.12565988219865,12
mp-1228891,AlGaAs2,Al-Ga-As,0.7004999999999999,True,R3m,Trigonal,0.0,-0.5373326012500002,4.488243153365913,91.21657145338672,4
mp-1228436,Al3GaN4,Al-Ga-N,3.4073,False,Pm,Monoclinic,0.0019502125000006032,-1.425316268125,4.028504842139355,85.19889294243089,8
mp-1228943,AlGa3N4,Al-Ga-N,2.2393,True,Pm,Monoclinic,0.003032757499999761,-0.9194223406250011,5.429149019607631,89.36426022681383,8
mp-1228888,AlGaP2,Al-Ga-P,1.6344000000000003,False,P-4m2,Tetragonal,0.003371720000000522,-0.6197107389880951,3.2317818999829293,81.51786118779647,4
mp-971837,ZnCdTe2,Zn-Cd-Te,0.7719,True,I-42d,Tetragonal,0.0035467762500003275,-0.6639089545833317,5.659906463276635,254.08427940961678,8
mp-1228895,AlGaSb2,Al-Ga-Sb,0.17270000000000074,True,R3m,Trigonal,0.003723565000001372,-0.23740013749999989,4.832667330775283,116.90358551122266,4
mp-1228953,Al2GaN3,Al-Ga-N,3.1754,True,Cm,Monoclinic,0.004115225000003164,-1.339016025208333,4.27088198593123,128.8546872090561,12
mp-1246874,Al2InN3,Al-In-N,2.7788999999999993,True,Cmc2_1,Orthorhombic,0.005467598333336099,-1.1535474052083334,4.917332825881357,142.37132319884725,12
mp-1228894,AlGaN2,Al-Ga-N,2.7200000000000006,True,P3m1,Trigonal,0.00717303000000058,-1.1676877593749992,4.742663557306753,43.66723617183428,4
mp-1228890,AlInSb2,Al-In-Sb,0.3185000000000002,True,P-4m2,Tetragonal,0.008019425000000524,-0.2374791550000026,4.96320972069534,128.9162021897973,4
mp-1078597,ZnCd3Se4,Zn-Cd-Se,0.6264000000000001,True,P-43m,Cubic,0.008423413125000945,-0.8576714899218749,5.462448285763791,218.41258148386436,8
mp-1228691,Al4GaSb5,Al-Ga-Sb,0.9868369420450565,False,Imm2,Orthorhombic,0.009260069000003313,-0.23897470300000237,4.320039273718851,302.29575794483554,10
mp-1215624,Zn4CdSe5,Zn-Cd-Se,0.9516,True,I-4m2,Tetragonal,0.009932317500001453,-0.9188377461718751,5.136331877649682,248.56269258561545,10
mp-1079034,Zn3CdSe4,Zn-Cd-Se,0.9315,True,P-43m,Cubic,0.012719986875000533,-0.9103523349218756,5.366968281630395,193.2133864532565,8
mp-1017534,ZnCdSe2,Zn-Cd-Se,0.7236000000000001,True,P-4m2,Tetragonal,0.01299569625000263,-0.8815879161718732,5.428394276121053,102.70244912968592,4
mp-1246567,InGa2N3,Ga-In-N,0.9052000000000007,True,Cmc2_1,Orthorhombic,0.013409852500000596,-0.47252330770833595,6.318627100027943,155.72728561482108,12
mp-1078780,ZnCd3S4,Zn-Cd-S,1.2163999999999997,True,P-43m,Cubic,0.013561217053570829,-0.8095696620312491,4.614223787711215,191.0578145593272,8
mp-1245824,AlIn2N3,Al-In-N,0.8864999999999998,True,Cmc2_1,Orthorhombic,0.015750799166669438,-0.6226070360416642,5.911092657854814,167.78605751894185,12
mp-1223781,InGaAs2,Ga-In-As,1.2801,True,P-4m2,Tetragonal,0.015953370000001854,-0.401440061249998,5.217211230565899,106.42812866699501,4
mp-1247201,AlInN2,Al-In-N,1.5194,True,Pna2_1,Orthorhombic,0.01742199124999999,-0.8812644281250002,5.398047685505691,208.950372713869,16
mp-981379,Zn3CdS4,Zn-Cd-S,1.6798,True,P-43m,Cubic,0.01854530866071613,-0.8976305507812494,4.334460802884234,167.37634301601193,8
mp-971712,ZnCdS2,Zn-Cd-S,1.3685999999999998,True,P-4m2,Tetragonal,0.020163146607144355,-0.8494902226562484,4.492567445560812,89.42935917905643,4
mp-1120750,In3GaN4,Ga-In-N,0.08059035165282236,True,P6_3mc,Hexagonal,0.021581013125000936,-0.2342068387499996,6.545583629873753,238.57056128383928,16
mp-1215784,Zn4CdS5,Zn-Cd-S,1.5458,True,P3m1,Trigonal,0.026221206785717044,-0.8992591506919652,4.107610587937862,432.0495160581378,20
mp-1223642,InGaP2,Ga-In-P,0.5607000000000006,True,R3m,Trigonal,0.03904521750000001,-0.39454964898809486,4.333018257035516,94.46159694292515,4
mp-1223963,InGa4Sb5,Ga-In-Sb,0.017617462707991027,False,R3m,Trigonal,0.04971538299999878,-0.18130648799999563,5.273821518824654,315.65478961335657,10
